Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Brin",easy,11,Failed,"Underground North","Underground North: Objective #5","1","17:28:08","17:29:10",
Bot3,"ItsRenke",hard,7,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","17:28:08","17:28:43",
Bot3,"ItsRenke",hard,7,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","17:28:48","17:30:50",
Bot1,"Crackbone",easy,7,Completed,"TerraGroup Office","TerraGroup Office: Objective #1","1","17:28:08","17:28:23",
Bot1,"Crackbone",easy,7,Completed,"TerraGroup Office","TerraGroup Office: Objective #2","1","17:28:29","17:28:33",
Bot1,"Crackbone",easy,7,Completed,"TerraGroup Office","TerraGroup Office: Objective #4","1","17:28:38","17:28:43",
Bot1,"Crackbone",easy,7,Completed,"TerraGroup Office","TerraGroup Office: Objective #3","1","17:28:48","17:28:54",
Bot1,"Crackbone",easy,7,Failed,"TerraGroup Office","TerraGroup Office: Objective #5","1","17:28:59","17:29:10",
Bot5,"craink",easy,5,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","17:28:15","17:32:51",
Bot6,"ChiNoel",hard,5,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","17:28:16","17:30:47",
Bot8,"nohurry",easy,9,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","17:28:19","17:30:23",
Bot8,"nohurry",easy,9,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","2","17:30:28","17:30:44",
Bot8,"nohurry",easy,9,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #1","1","17:30:49","17:30:54",
Bot8,"nohurry",easy,9,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","17:31:00","17:32:10",
Bot9,"Yakhmet",easy,24,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","17:28:19","17:31:50",
Bot19,"VirtualHex",normal,14,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","17:30:38","17:31:09",
Bot21,"Jeo",normal,2,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","17:31:50","17:33:38",
Bot24,"kikirio",easy,9,Completed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","17:32:50","17:34:30",
Bot24,"kikirio",easy,9,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","17:34:36","17:36:25",
Bot26,"crustyselenium_",easy,11,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","17:33:10","17:42:10",
Bot28,"DanW",normal,13,Failed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","17:34:49","17:35:21",
Bot29,"!Komino Style!",hard,6,Failed,"Capital Insight","Capital Insight: Objective #4","1","17:35:34","17:36:50",
Bot32,"Brin",easy,6,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","17:35:58","17:45:49",
Bot31,"Fontaine",easy,6,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #2","1","17:35:58","17:36:01",
Bot31,"Fontaine",easy,6,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","1","17:36:06","17:41:00",
Bot36,"CWX",hard,10,Failed,"Olive Restaurant","Olive Restaurant: Objective #5","1","17:37:58","17:38:22",
Bot37,"ThurmanMurman",easy,14,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","17:38:13","17:38:55",
Bot38,"Yakhmet",easy,8,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","17:38:13","17:43:21",
Bot42,"冰淇淋",normal,13,Pending,"Capital Insight","Capital Insight: Objective #4","1","17:39:21","N/A",
Bot41,"gaylatea",normal,20,Active,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","1","17:39:21","N/A",
Bot45,"蘑菇汤",normal,10,Failed,"Olive Restaurant","Olive Restaurant: Objective #3","1","17:41:21","17:43:35",
Bot46,"Nootropix",normal,4,Completed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","17:41:37","17:42:22",
Bot46,"Nootropix",normal,4,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","17:42:27","17:42:51",
Bot46,"Nootropix",normal,4,Completed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","17:42:56","17:44:02",
Bot46,"Nootropix",normal,4,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","17:44:08","17:44:31",
Bot46,"Nootropix",normal,4,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","17:44:37","17:45:20",
Bot46,"Nootropix",normal,4,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","2","17:45:25","17:45:41",
Bot46,"Nootropix",normal,4,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #1","1","17:45:46","17:45:51",
Bot46,"Nootropix",normal,4,Active,"Mira Avenue Extract Camping","Mira Avenue Extract Camping: Objective #1","1","17:45:56","N/A",
Bot48,"DewardianDev",normal,6,Failed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","17:42:46","17:45:58",
Bot49,"Gatsu66",easy,6,Pending,"Underground Utility Room","Underground Utility Room: Objective #1","1","17:43:16","N/A",
