[2024-06-12T14:59:34.840Z] debug: 	Importing configs...
[2024-06-12T14:59:34.982Z] info: 	Commit hash: 01783e295be916352ccb1078cf8351b273610c8e
[2024-06-12T14:59:34.983Z] info: 	Build date: 1715594841109
[2024-06-12T14:59:35.111Z] info: 	ModLoader: dossier user/mod manquant, création en cours...
[2024-06-12T14:59:35.150Z] info: 	Serveur : exécution des rappels de démarrage...
[2024-06-12T14:59:35.150Z] debug: 	OS: x64 | Windows 11 Pro | win32
[2024-06-12T14:59:35.151Z] debug: 	CPU: AMD Ryzen 5 5600X 6-Core Processor              cores: 12
[2024-06-12T14:59:35.151Z] debug: 	RAM: 15.93GB
[2024-06-12T14:59:35.151Z] debug: 	PATH: RDpcR2FtZXNcR1BUU1RcU1BUQVJLT1ZcQWtpLlNlcnZlci5leGU=
[2024-06-12T14:59:35.151Z] debug: 	PATH: RDpcR2FtZXNcR1BUU1RcU1BUQVJLT1ZcQWtpLlNlcnZlci5leGU=
[2024-06-12T14:59:35.152Z] debug: 	Server: 3.8.3
[2024-06-12T14:59:35.152Z] debug: 	Date: 1715594841109
[2024-06-12T14:59:35.152Z] debug: 	Commit: 01783e295be916352ccb1078cf8351b273610c8e
[2024-06-12T14:59:35.162Z] info: 	Importation de la base de données...
[2024-06-12T14:59:57.975Z] info: 	Importation de la base de données terminée
[2024-06-12T15:00:01.344Z] succ: 	webserver demarré sur http://127.0.0.1:6969
[2024-06-12T15:00:01.345Z] succ: 	Démarrage du websocket sur ws://127.0.0.1:6969
[2024-06-12T15:00:01.345Z] succ: 	Le serveur est en cours d'exécution, ne le fermez pas pendant que vous jouez à SPT, Bon jeu!!
[2024-06-12T15:00:06.367Z] debug: 	Saved 0 profiles, took: 0.00ms
[2024-06-12T15:00:26.387Z] debug: 	Saved 0 profiles, took: 0.00ms
[2024-06-12T15:00:46.416Z] debug: 	Saved 0 profiles, took: 0.00ms
[2024-06-12T15:01:06.448Z] debug: 	Saved 0 profiles, took: 0.00ms
[2024-06-12T15:01:26.476Z] debug: 	Saved 0 profiles, took: 0.00ms
[2024-06-12T15:01:46.508Z] debug: 	Saved 0 profiles, took: 0.00ms
[2024-06-12T15:01:56.676Z] info: 	[Requête Client] /launcher/server/connect
[2024-06-12T15:01:56.692Z] info: 	[Requête Client] /launcher/ping
[2024-06-12T15:01:56.693Z] info: 	[Requête Client] /launcher/server/version
[2024-06-12T15:01:56.696Z] info: 	[Requête Client] /files/launcher/bg.png
[2024-06-12T15:01:56.714Z] info: 	[Requête Client] /launcher/profiles
[2024-06-12T15:01:56.715Z] info: 	[Requête Client] /launcher/ping
[2024-06-12T15:02:06.532Z] debug: 	Saved 0 profiles, took: 0.00ms
[2024-06-12T15:02:06.864Z] info: 	[Requête Client] /launcher/profile/login
[2024-06-12T15:02:26.555Z] debug: 	Saved 0 profiles, took: 0.00ms
[2024-06-12T15:02:40.773Z] info: 	[Requête Client] /launcher/ping
[2024-06-12T15:02:44.767Z] info: 	[Requête Client] /launcher/profile/login
[2024-06-12T15:02:46.578Z] debug: 	Saved 0 profiles, took: 0.00ms
[2024-06-12T15:02:48.608Z] info: 	[Requête Client] /launcher/profile/login
[2024-06-12T15:03:06.595Z] debug: 	Saved 0 profiles, took: 0.00ms
[2024-06-12T15:03:26.625Z] debug: 	Saved 0 profiles, took: 0.00ms
[2024-06-12T15:03:28.756Z] info: 	[Requête Client] /launcher/profile/register
[2024-06-12T15:03:28.762Z] info: 	[Requête Client] /launcher/profile/login
[2024-06-12T15:03:28.763Z] info: 	[Requête Client] /launcher/profile/get
[2024-06-12T15:03:28.770Z] info: 	[Requête Client] /launcher/profile/info
