[2024-06-14T22:00:13.902Z] debug: 	Saved 2 profiles, took: 10.18ms
[2024-06-14T22:00:20.615Z] info: 	[Requête Client] /client/repeatalbeQuests/activityPeriods
[2024-06-14T22:00:26.567Z] info: 	[Requête Client] /launcher/profile/info
[2024-06-14T22:00:26.568Z] info: 	[Requête Client] /launcher/server/version
[2024-06-14T22:00:33.924Z] debug: 	Saved 2 profiles, took: 11.14ms
[2024-06-14T22:00:49.157Z] debug: 	[WS] Pinging joueur: 666c649000017156028c2690
[2024-06-14T22:00:50.665Z] info: 	[Requête Client] /client/repeatalbeQuests/activityPeriods
[2024-06-14T22:00:53.955Z] debug: 	Saved 2 profiles, took: 7.94ms
[2024-06-14T22:01:13.999Z] debug: 	Saved 2 profiles, took: 8.09ms
[2024-06-14T22:01:20.729Z] info: 	[Requête Client] /client/repeatalbeQuests/activityPeriods
[2024-06-14T22:01:26.570Z] info: 	[Requête Client] /launcher/profile/info
[2024-06-14T22:01:26.571Z] info: 	[Requête Client] /launcher/server/version
[2024-06-14T22:01:29.035Z] debug: 	Saved 2 profiles, took: 8.89ms
[2024-06-14T22:01:49.055Z] debug: 	Saved 2 profiles, took: 8.78ms
[2024-06-14T22:01:50.791Z] info: 	[Requête Client] /client/repeatalbeQuests/activityPeriods
[2024-06-14T22:02:09.077Z] debug: 	Saved 2 profiles, took: 8.51ms
[2024-06-14T22:02:19.157Z] debug: 	[WS] Pinging joueur: 666c649000017156028c2690
[2024-06-14T22:02:20.854Z] info: 	[Requête Client] /client/repeatalbeQuests/activityPeriods
[2024-06-14T22:02:26.578Z] info: 	[Requête Client] /launcher/profile/info
[2024-06-14T22:02:26.580Z] info: 	[Requête Client] /launcher/server/version
[2024-06-14T22:02:29.108Z] debug: 	Saved 2 profiles, took: 10.11ms
[2024-06-14T22:02:49.140Z] debug: 	Saved 2 profiles, took: 8.17ms
[2024-06-14T22:02:50.914Z] info: 	[Requête Client] /client/repeatalbeQuests/activityPeriods
[2024-06-14T22:03:09.161Z] debug: 	Saved 2 profiles, took: 7.79ms
[2024-06-14T22:03:20.965Z] info: 	[Requête Client] /client/repeatalbeQuests/activityPeriods
[2024-06-14T22:03:26.571Z] info: 	[Requête Client] /launcher/profile/info
[2024-06-14T22:03:26.572Z] info: 	[Requête Client] /launcher/server/version
[2024-06-14T22:03:29.206Z] debug: 	Saved 2 profiles, took: 7.50ms
[2024-06-14T22:03:49.157Z] debug: 	[WS] Pinging joueur: 666c649000017156028c2690
[2024-06-14T22:03:49.231Z] debug: 	Saved 2 profiles, took: 7.46ms
[2024-06-14T22:03:51.019Z] info: 	[Requête Client] /client/repeatalbeQuests/activityPeriods
[2024-06-14T22:04:09.279Z] debug: 	Saved 2 profiles, took: 7.88ms
[2024-06-14T22:04:21.092Z] info: 	[Requête Client] /client/repeatalbeQuests/activityPeriods
[2024-06-14T22:04:26.575Z] info: 	[Requête Client] /launcher/profile/info
